person_id;item_id;booklet_id;response;geslacht
p1;i1;1;0;1
p4;i1;1;1;1
p7;i1;1;1;1
p10;i1;1;1;2
p13;i1;1;1;1
p16;i1;1;0;2
p19;i1;1;1;2
p22;i1;1;1;1
p25;i1;1;1;2
p28;i1;1;1;1
p31;i1;1;0;1
p34;i1;1;1;2
p37;i1;1;1;1
p40;i1;1;1;1
p43;i1;1;1;2
p46;i1;1;0;1
p49;i1;1;1;2
p52;i1;1;0;1
p55;i1;1;1;1
p58;i1;1;1;2
p61;i1;1;1;2
p64;i1;1;1;2
p67;i1;1;1;2
p70;i1;1;0;2
p73;i1;1;1;2
p76;i1;1;1;1
p79;i1;1;0;1
p82;i1;1;1;2
p85;i1;1;0;2
p88;i1;1;1;1
p91;i1;1;1;1
p94;i1;1;1;2
p97;i1;1;1;1
p100;i1;1;1;2
p103;i1;1;1;2
p106;i1;1;0;2
p109;i1;1;1;2
p112;i1;1;1;2
p115;i1;1;1;2
p118;i1;1;1;2
p121;i1;1;0;1
p124;i1;1;1;2
p127;i1;1;1;1
p130;i1;1;0;2
p133;i1;1;1;2
p136;i1;1;0;2
p139;i1;1;0;1
p142;i1;1;1;2
p145;i1;1;1;1
p148;i1;1;0;2
p151;i1;1;1;1
p154;i1;1;1;2
p157;i1;1;1;2
p160;i1;1;1;1
p163;i1;1;0;1
p166;i1;1;0;1
p169;i1;1;1;1
p172;i1;1;0;2
p175;i1;1;0;2
p178;i1;1;0;1
p181;i1;1;1;2
p184;i1;1;1;2
p187;i1;1;0;1
p190;i1;1;1;1
p193;i1;1;1;2
p196;i1;1;1;1
p199;i1;1;1;1
p202;i1;1;1;2
p205;i1;1;1;1
p208;i1;1;1;2
p211;i1;1;1;1
p214;i1;1;1;1
p217;i1;1;1;1
p220;i1;1;1;1
p223;i1;1;0;1
p226;i1;1;1;2
p229;i1;1;1;1
p232;i1;1;1;1
p235;i1;1;0;1
p238;i1;1;1;1
p241;i1;1;0;2
p244;i1;1;0;2
p247;i1;1;0;1
p250;i1;1;1;2
p253;i1;1;1;2
p256;i1;1;1;2
p259;i1;1;1;2
p262;i1;1;1;2
p265;i1;1;0;1
p268;i1;1;1;1
p271;i1;1;0;1
p274;i1;1;1;2
p277;i1;1;1;1
p280;i1;1;0;2
p283;i1;1;1;2
p286;i1;1;1;2
p289;i1;1;1;1
p292;i1;1;0;1
p295;i1;1;1;1
p298;i1;1;1;2
p301;i1;1;1;2
p304;i1;1;0;2
p307;i1;1;1;1
p310;i1;1;1;1
p313;i1;1;1;1
p316;i1;1;0;2
p319;i1;1;1;2
p322;i1;1;1;2
p325;i1;1;1;2
p328;i1;1;0;2
p331;i1;1;1;1
p334;i1;1;1;1
p337;i1;1;0;1
p340;i1;1;1;2
p343;i1;1;1;1
p346;i1;1;0;1
p349;i1;1;1;1
p352;i1;1;1;1
p355;i1;1;1;2
p358;i1;1;0;2
p361;i1;1;1;1
p364;i1;1;0;1
p367;i1;1;1;2
p370;i1;1;0;1
p373;i1;1;1;2
p376;i1;1;1;1
p379;i1;1;0;1
p382;i1;1;1;2
p385;i1;1;0;1
p388;i1;1;0;2
p391;i1;1;1;1
p394;i1;1;0;1
p397;i1;1;0;1
p400;i1;1;0;1
p403;i1;1;1;1
p406;i1;1;1;2
p409;i1;1;0;1
p412;i1;1;0;2
p415;i1;1;1;1
p418;i1;1;1;2
p421;i1;1;1;2
p424;i1;1;1;1
p427;i1;1;1;1
p430;i1;1;1;1
p433;i1;1;1;1
p436;i1;1;1;2
p439;i1;1;1;2
p442;i1;1;1;2
p445;i1;1;1;1
p448;i1;1;1;2
p451;i1;1;1;2
p454;i1;1;0;2
p457;i1;1;1;1
p460;i1;1;1;2
p463;i1;1;0;1
p466;i1;1;1;1
p469;i1;1;1;1
p472;i1;1;0;1
p475;i1;1;1;1
p478;i1;1;0;2
p481;i1;1;1;1
p484;i1;1;1;2
p487;i1;1;1;1
p490;i1;1;1;1
p493;i1;1;1;2
p496;i1;1;1;2
p499;i1;1;1;2
p502;i1;1;0;1
p505;i1;1;1;1
p508;i1;1;1;1
p511;i1;1;1;1
p514;i1;1;1;1
p517;i1;1;1;1
p520;i1;1;0;1
p523;i1;1;0;1
p526;i1;1;0;1
p529;i1;1;1;2
p532;i1;1;0;1
p535;i1;1;1;1
p538;i1;1;0;2
p541;i1;1;1;2
p544;i1;1;1;1
p547;i1;1;1;1
p550;i1;1;0;1
p553;i1;1;1;2
p556;i1;1;1;2
p559;i1;1;1;2
p562;i1;1;1;1
p565;i1;1;0;2
p568;i1;1;1;1
p571;i1;1;0;2
p574;i1;1;0;2
p577;i1;1;1;2
p580;i1;1;0;1
p583;i1;1;0;2
p586;i1;1;0;2
p589;i1;1;1;2
p592;i1;1;0;2
p595;i1;1;1;1
p598;i1;1;1;2
p601;i1;1;0;1
p604;i1;1;1;1
p607;i1;1;0;1
p610;i1;1;0;1
p613;i1;1;1;1
p616;i1;1;1;1
p619;i1;1;1;2
p622;i1;1;1;1
p625;i1;1;1;2
p628;i1;1;1;1
p631;i1;1;0;1
p634;i1;1;1;1
p637;i1;1;1;2
p640;i1;1;1;2
p643;i1;1;0;2
p646;i1;1;1;2
p649;i1;1;1;2
p652;i1;1;1;1
p655;i1;1;1;2
p658;i1;1;0;1
p661;i1;1;0;1
p664;i1;1;1;2
p667;i1;1;1;2
p670;i1;1;1;2
p673;i1;1;1;2
p676;i1;1;0;1
p679;i1;1;1;1
p682;i1;1;1;2
p685;i1;1;1;1
p688;i1;1;1;1
p691;i1;1;1;1
p694;i1;1;1;2
p697;i1;1;1;1
p700;i1;1;1;2
p703;i1;1;1;1
p706;i1;1;0;1
p709;i1;1;1;1
p712;i1;1;0;1
p715;i1;1;1;1
p718;i1;1;1;2
p721;i1;1;1;1
p724;i1;1;1;2
p727;i1;1;0;2
p730;i1;1;1;2
p733;i1;1;0;2
p736;i1;1;1;1
p739;i1;1;0;1
p742;i1;1;1;2
p745;i1;1;1;2
p748;i1;1;1;2
p751;i1;1;1;2
p754;i1;1;1;2
p757;i1;1;1;2
p760;i1;1;0;2
p763;i1;1;0;2
p766;i1;1;0;2
p769;i1;1;1;1
p772;i1;1;0;2
p775;i1;1;0;2
p778;i1;1;1;1
p781;i1;1;0;1
p784;i1;1;1;2
p787;i1;1;1;1
p790;i1;1;1;2
p793;i1;1;1;2
p796;i1;1;1;1
p799;i1;1;1;1
p802;i1;1;1;1
p805;i1;1;1;1
p808;i1;1;1;2
p811;i1;1;1;2
p814;i1;1;0;2
p817;i1;1;0;1
p820;i1;1;1;2
p823;i1;1;1;1
p826;i1;1;1;2
p829;i1;1;1;1
p832;i1;1;1;1
p835;i1;1;1;2
p838;i1;1;1;2
p841;i1;1;1;2
p844;i1;1;0;2
p847;i1;1;0;2
p850;i1;1;1;1
p853;i1;1;1;1
p856;i1;1;0;2
p859;i1;1;1;1
p862;i1;1;1;1
p865;i1;1;1;2
p868;i1;1;1;1
p871;i1;1;0;2
p874;i1;1;1;2
p877;i1;1;1;2
p880;i1;1;1;2
p883;i1;1;1;1
p886;i1;1;1;1
p889;i1;1;1;1
p892;i1;1;0;1
p895;i1;1;1;2
p898;i1;1;1;1
p901;i1;1;0;1
p904;i1;1;1;1
p907;i1;1;0;2
p910;i1;1;1;1
p913;i1;1;1;2
p916;i1;1;1;1
p919;i1;1;1;2
p922;i1;1;1;1
p925;i1;1;0;2
p928;i1;1;1;1
p931;i1;1;0;2
p934;i1;1;1;1
p937;i1;1;1;2
p940;i1;1;1;2
p943;i1;1;1;2
p946;i1;1;1;1
p949;i1;1;1;1
p952;i1;1;1;1
p955;i1;1;0;2
p958;i1;1;1;2
p961;i1;1;1;2
p964;i1;1;1;2
p967;i1;1;0;2
p970;i1;1;1;2
p973;i1;1;1;2
p976;i1;1;1;2
p979;i1;1;1;2
p982;i1;1;1;2
p985;i1;1;0;1
p988;i1;1;1;1
p991;i1;1;0;2
p994;i1;1;1;1
p997;i1;1;0;1
p1000;i1;1;1;1
p1;i2;1;1;1
p4;i2;1;1;1
p7;i2;1;0;1
p10;i2;1;1;2
p13;i2;1;1;1
p16;i2;1;1;2
p19;i2;1;0;2
p22;i2;1;1;1
p25;i2;1;1;2
p28;i2;1;1;1
p31;i2;1;1;1
p34;i2;1;1;2
p37;i2;1;0;1
p40;i2;1;0;1
p43;i2;1;1;2
p46;i2;1;1;1
p49;i2;1;1;2
p52;i2;1;1;1
p55;i2;1;0;1
p58;i2;1;1;2
p61;i2;1;1;2
p64;i2;1;0;2
p67;i2;1;1;2
p70;i2;1;0;2
p73;i2;1;0;2
p76;i2;1;1;1
p79;i2;1;1;1
p82;i2;1;0;2
p85;i2;1;1;2
p88;i2;1;1;1
p91;i2;1;1;1
p94;i2;1;0;2
p97;i2;1;0;1
p100;i2;1;0;2
p103;i2;1;1;2
p106;i2;1;0;2
p109;i2;1;0;2
p112;i2;1;1;2
p115;i2;1;1;2
p118;i2;1;1;2
p121;i2;1;0;1
p124;i2;1;0;2
p127;i2;1;1;1
p130;i2;1;1;2
p133;i2;1;1;2
p136;i2;1;1;2
p139;i2;1;0;1
p142;i2;1;0;2
p145;i2;1;0;1
p148;i2;1;0;2
p151;i2;1;1;1
p154;i2;1;1;2
p157;i2;1;1;2
p160;i2;1;1;1
p163;i2;1;0;1
p166;i2;1;1;1
p169;i2;1;0;1
p172;i2;1;0;2
p175;i2;1;0;2
p178;i2;1;1;1
p181;i2;1;0;2
p184;i2;1;1;2
p187;i2;1;0;1
p190;i2;1;0;1
p193;i2;1;1;2
p196;i2;1;1;1
p199;i2;1;1;1
p202;i2;1;0;2
p205;i2;1;0;1
p208;i2;1;1;2
p211;i2;1;1;1
p214;i2;1;0;1
p217;i2;1;1;1
p220;i2;1;0;1
p223;i2;1;0;1
p226;i2;1;0;2
p229;i2;1;1;1
p232;i2;1;1;1
p235;i2;1;1;1
p238;i2;1;0;1
p241;i2;1;0;2
p244;i2;1;0;2
p247;i2;1;1;1
p250;i2;1;0;2
p253;i2;1;1;2
p256;i2;1;1;2
p259;i2;1;0;2
p262;i2;1;1;2
p265;i2;1;1;1
p268;i2;1;1;1
p271;i2;1;1;1
p274;i2;1;1;2
p277;i2;1;1;1
p280;i2;1;0;2
p283;i2;1;0;2
p286;i2;1;1;2
p289;i2;1;1;1
p292;i2;1;1;1
p295;i2;1;1;1
p298;i2;1;1;2
p301;i2;1;1;2
p304;i2;1;1;2
p307;i2;1;1;1
p310;i2;1;1;1
p313;i2;1;1;1
p316;i2;1;1;2
p319;i2;1;1;2
p322;i2;1;1;2
p325;i2;1;0;2
p328;i2;1;0;2
p331;i2;1;1;1
p334;i2;1;0;1
p337;i2;1;0;1
p340;i2;1;1;2
p343;i2;1;1;1
p346;i2;1;0;1
p349;i2;1;1;1
p352;i2;1;1;1
p355;i2;1;1;2
p358;i2;1;1;2
p361;i2;1;1;1
p364;i2;1;1;1
p367;i2;1;1;2
p370;i2;1;1;1
p373;i2;1;0;2
p376;i2;1;1;1
p379;i2;1;1;1
p382;i2;1;1;2
p385;i2;1;1;1
