"","gender","anger","S1DoCurse","S1DoScold","S1DoShout","S1WantCurse","S1WantScold","S1WantShout","S2DoCurse","S2DoScold","S2DoShout","S2WantCurse","S2WantScold","S2WantShout","S3DoCurse","S3DoScold","S3DoShout","S3WantCurse","S3WantScold","S3WantShout","S4DoCurse","S4DoScold","S4DoShout","S4WantCurse","S4WantScold","S4WantShout"
"1","Male",20,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,0,0
"2","Female",16,1,2,1,2,2,2,2,2,1,2,2,1,0,0,0,1,0,1,1,1,1,1,1,1
"3","Female",18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"4","Female",27,2,0,0,2,2,0,1,1,0,1,1,0,1,0,0,2,0,0,1,1,0,2,2,0
"5","Female",21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0
"6","Female",21,2,2,0,0,2,0,2,2,0,0,2,0,1,1,0,2,1,0,2,2,0,2,2,0
"7","Female",15,0,1,0,2,2,0,0,1,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0
"8","Female",17,1,1,0,2,2,1,1,1,0,2,1,1,0,0,0,1,1,1,2,2,1,2,1,1
"9","Female",15,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,1
"10","Female",23,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"11","Female",23,1,1,0,1,1,1,1,1,0,2,1,2,1,1,0,1,1,1,1,1,0,1,1,0
"12","Female",19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"13","Female",15,1,1,1,1,2,2,1,1,1,1,2,2,0,0,0,1,1,1,0,0,0,0,0,0
"14","Female",21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Female",18,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"16","Female",18,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"17","Female",16,0,0,0,2,2,0,1,0,0,2,2,0,1,1,0,2,2,0,1,0,0,1,1,1
"18","Female",20,1,1,0,2,0,0,1,0,0,1,1,0,0,0,0,1,1,0,2,1,0,2,1,0
"19","Female",24,2,2,2,2,2,2,2,1,0,2,2,2,2,0,0,2,2,1,2,2,1,2,1,2
"20","Female",26,2,2,0,2,2,1,2,1,1,2,2,1,2,0,0,2,1,0,0,0,0,1,0,0
"21","Female",20,2,0,0,2,2,1,2,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1
"22","Female",22,1,1,0,2,2,2,1,1,0,2,2,2,0,0,0,1,0,0,0,0,0,1,0,0
"23","Male",16,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0
"24","Female",18,2,2,0,2,2,2,2,2,0,2,2,2,0,2,0,2,0,1,2,2,0,0,2,1
"25","Male",18,2,0,0,0,0,2,1,0,0,1,0,1,1,0,1,2,0,1,1,1,1,2,2,1
