"";"item_id";"behavior";"mode";"blame";"situation"
"1";"S1DoCurse";"Curse";"Do";"Other";"Bus"
"2";"S1DoScold";"Scold";"Do";"Other";"Bus"
"3";"S1DoShout";"Shout";"Do";"Other";"Bus"
"4";"S1WantCurse";"Curse";"Want";"Other";"Bus"
"5";"S1WantScold";"Scold";"Want";"Other";"Bus"
"6";"S1WantShout";"Shout";"Want";"Other";"Bus"
"7";"S2DoCurse";"Curse";"Do";"Other";"Train"
"8";"S2DoScold";"Scold";"Do";"Other";"Train"
"9";"S2DoShout";"Shout";"Do";"Other";"Train"
"10";"S2WantCurse";"Curse";"Want";"Other";"Train"
"11";"S2WantScold";"Scold";"Want";"Other";"Train"
"12";"S2WantShout";"Shout";"Want";"Other";"Train"
"13";"S3DoCurse";"Curse";"Do";"Self";"Store"
"14";"S3DoScold";"Scold";"Do";"Self";"Store"
"15";"S3DoShout";"Shout";"Do";"Self";"Store"
"16";"S3WantCurse";"Curse";"Want";"Self";"Store"
"17";"S3WantScold";"Scold";"Want";"Self";"Store"
"18";"S3WantShout";"Shout";"Want";"Self";"Store"
"19";"S4DoCurse";"Curse";"Do";"Self";"Call"
"20";"S4DoScold";"Scold";"Do";"Self";"Call"
"21";"S4DoShout";"Shout";"Do";"Self";"Call"
"22";"S4WantCurse";"Curse";"Want";"Self";"Call"
"23";"S4WantScold";"Scold";"Want";"Self";"Call"
"24";"S4WantShout";"Shout";"Want";"Self";"Call"
